//Commentaire

:Rez de chaussée
::CDI
CDI-01;10;10
CDI-02;30;10
CDI-03;50;10
CDI-04;70;10
CDI-05;90;10
CDI-06;10;30
CDI-07;30;30
CDI-08;50;30
CDI-09;70;30

::Salle des profs
C01-01;10;10
C01-02;30;10
C01-03;50;10
C01-04;70;10
C01-05;90;10
C01-06;10;30
C01-07;30;30
C01-08;50;30
C01-09;70;30

:Premier étage
::A102
A102-01;10;10
A102-02;30;10
A102-03;50;10
A102-04;70;10
A102-05;90;10
A102-06;10;30
A102-07;30;30
A102-08;50;30
A102-09;70;30
A102-10;90;30
A102-11;10;50
A102-12;30;50
A102-13;50;50
A102-14;70;50
A102-15;90;50
A102-16;10;70
A102-17;30;70

::A111
A111-01;10;10
A111-02;30;10
A111-03;50;10
A111-04;70;10
A111-05;90;10
A111-06;10;30
A111-07;30;30
A111-08;50;30
A111-09;70;30
A111-10;90;30
A111-11;10;50
A111-12;30;50
A111-13;50;50
A111-14;70;50
A111-15;90;50
A111-16;10;70
A111-17;30;70
A111-18;50;70

A113-01;10;10
A113-02;30;10
A113-03;50;10
A113-04;70;10
A113-05;90;10
A113-06;10;30
A113-07;30;30
A113-08;50;30
A113-09;70;30
A113-10;90;30
A113-11;10;50
A113-12;30;50
A113-13;50;50
A113-14;70;50
A113-15;90;50
A113-16;10;70
A113-17;30;70

A114-01;10;10
A114-02;30;10
A114-03;50;10
A114-04;70;10
A114-05;90;10
A114-06;10;30
A114-07;30;30
A114-08;50;30
A114-09;70;30
A114-10;90;30
A114-11;10;50
A114-12;30;50
A114-13;50;50
A114-14;70;50
A114-15;90;50
A114-16;10;70
A114-17;30;70

A118-01;10;10
A118-02;30;10
A118-03;50;10
A118-04;70;10
A118-05;90;10
A118-06;10;30
A118-07;30;30
A118-08;50;30
A118-09;70;30
A118-10;90;30
A118-11;10;50
A118-12;30;50
A118-13;50;50
A118-14;70;50
A118-15;90;50
A118-16;10;70
A118-17;30;70
A118-18;50;70

A119-01;10;10
A119-02;30;10
A119-03;50;10
A119-04;70;10
A119-05;90;10
A119-06;10;30
A119-07;30;30
A119-08;50;30
A119-09;70;30
A119-10;90;30
A119-11;10;50
A119-12;30;50
A119-13;50;50
A119-14;70;50
A119-15;90;50
A119-16;10;70
A119-17;30;70
A119-18;50;70
A119-19;70;70

A124-01;10;80
A124-02;85;55
A124-03;85;40
A124-04;85;25
A124-05;85;10
A124-06;25;10
A124-07;70;90
A124-08;70;75
A124-09;70;55
A124-10;70;40
A124-11;70;25
A124-12;70;10
A124-13;40;55
A124-14;40;40
A124-15;40;25
A124-16;40;10
A124-17;25;55
A124-18;25;40
A124-19;25;25

B100-01;10;10
B100-02;30;10
B100-03;50;10
B100-04;70;10
B100-05;90;10
B100-06;10;30
B100-07;30;30
B100-08;50;30
B100-09;70;30
